Record_ID,Order_ID,Order_ID_Duplicate_Flag,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount,Sales_Amount,Order_Date,Order_Year,Order_Month,City,Segment,Profit,Profit_Flag
1,1000,False,Brian Thompson,Jeans,Slim Fit Jeans,4,842.0,0.6,1347.2,2025-02-27,2025,2,Delhi,B2C,2137.45,Review
2,1001,False,Shaun Ross,Jeans,Slim Fit Jeans,1,2366.61,0.44,1325.3,2025-07-15,2025,7,Ahmedabad,B2B,1588.15,Review
3,1002,True,Sarah Snyder,Jackets,Puffer Coat,1,637.82,0.54,293.4,2025-01-02,2025,1,Mumbai,B2B,-158.03,Negative
4,1003,True,Jay Briggs,Shoes,Loafers,2,2962.27,0.54,2725.29,2025-06-18,2025,6,Bengaluru,B2B,2296.5,OK
5,1004,True,Maria Blake,Accessories,Belts,1,2881.07,0.27,2103.18,2024-12-24,2024,12,Hyderabad,B2B,63.66,OK
6,1005,True,Samuel Miller,T-Shirts,Crop Top,4,2001.55,0.5,4003.1,2023-12-05,2023,12,Mumbai,B2B,1477.73,OK
7,1006,True,John Mclean,Jeans,Boyfriend Jeans,1,2060.85,0.44,1154.08,2024-04-02,2024,4,Ahmedabad,B2B,198.36,OK
8,1007,True,Dr. Kathryn Bass PhD,Dresses,Casual Midi,4,3669.56,0.5,7339.12,2024-11-28,2024,11,Bengaluru,B2C,2490.01,OK
9,1008,True,Marie Fisher,Accessories,Sunglasses,3,2577.64,0.51,3789.13,2024-12-19,2024,12,Ahmedabad,B2C,-886.8,Negative
10,1009,True,Dale Perry,T-Shirts,Oversized T-shirt,5,3027.66,0.5,7569.15,2025-07-20,2025,7,Bengaluru,B2B,-972.73,Negative
11,1010,True,Oscar Turner,T-Shirts,Crop Top,4,4007.02,0.5,8014.04,2025-01-03,2025,1,Pune,B2B,-950.38,Negative
12,1011,True,Jacob Sanchez,Accessories,Belts,3,2515.42,0.51,3697.67,2025-05-27,2025,5,Delhi,B2C,1370.67,OK
13,1012,True,Valerie Hampton,Jeans,Straight Cut,4,2891.64,0.21,9137.58,2024-08-22,2024,8,Ahmedabad,B2B,843.61,OK
14,1013,True,James Delgado,T-Shirts,Crop Top,4,2001.55,0.62,3042.36,2025-01-03,2025,1,Pune,B2C,1279.58,OK
15,1014,True,Richard Hood,Shoes,Loafers,4,2933.45,0.54,5397.55,2024-09-21,2024,9,Hyderabad,B2B,-889.25,Negative
